Part;Time [s];Np;ForceFluid.x [N/m];ForceFluid.y [N/m];ForceFluid.z [N/m];ForceFluid [N/m];Weight.x [N/m];Weight.y [N/m];Weight.z [N/m];ForceTotal.x [N/m];ForceTotal.y [N/m];ForceTotal.z [N/m];ForceTotal [N/m]
45;0.450023;80;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  6.278400362110E+01
46;0.460013;80;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  6.278400362110E+01
47;0.470017;80;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  6.278400362110E+01
48;0.480026;80;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  6.278400362110E+01
49;0.490039;80;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  6.278400362110E+01
50;0.500005;80;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  6.278400362110E+01
51;0.510023;80;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  6.278400362110E+01
52;0.520041;80;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  6.278400362110E+01
53;0.530014;80;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  6.278400362110E+01
54;0.540021;80;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  6.278400362110E+01
55;0.550032;80;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  6.278400362110E+01
56;0.560018;80;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  6.278400362110E+01
57;0.570018;80;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  6.278400362110E+01
58;0.580038;80;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  6.278400362110E+01
59;0.590027;80;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  6.278400362110E+01
60;0.600011;80;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  6.278400362110E+01
61;0.610036;80;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  6.278400362110E+01
62;0.620028;80;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  6.278400362110E+01
63;0.630004;80;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  6.278400362110E+01
64;0.640024;80;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400362110E+01;  6.278400362110E+01
