Time [s],Fx_net [N/m],Fy_net [N/m],Fz_net [N/m],Fmag_net [N/m]
0.810006,192.76227727505,4.2291251795000064e-33,124.81325186506,229.6424250468414
0.82001,186.70034552339,-2.85180692391e-32,126.63615138884,225.5963959311638
0.830022,145.19882672354998,-3.64702938451e-32,95.78167104395999,173.94489871757912
0.84,138.05785169071999,-5.092594974330001e-33,86.50394798374,162.9199295059706
0.850003,186.90653508809,-2.8214356602720797e-32,117.18346175828201,220.60375465592185
0.860012,128.81130822147,-1.3995474855921003e-32,81.06993836567,152.19950076245348
0.870018,24.6542794753766,-1.3436497702000004e-33,15.699227859072,29.22839803720071
0.880026,46.729886352959994,1.35074948213e-32,19.604280525500002,50.67553742668207
0.890029,278.86734046862,-1.8008751197999998e-32,165.68201713684,324.37250867262685
0.900014,38.168269196219995,-1.424735191019e-32,38.677331100069,54.33923733785266
0.910031,132.427465434989,-1.7266369386807998e-32,70.592433941252,150.06773581048404
0.92,246.493106661829,-2.7016846437672996e-32,137.612009402583,282.3046523945654
0.930006,127.178188953422,-1.139039921446e-32,80.90383072651,150.73062585850326
0.940018,145.06379293437,-1.1883775514600005e-32,80.25955364340001,165.78630815463498
0.950034,109.49224285631,-2.530387592120002e-33,65.9981243014,127.84484212125342
0.960022,35.93894673813,-9.176108941483001e-33,19.600149465359,40.936215649600015
0.970027,257.823617871227,-3.5196248636558993e-32,144.253512878391,295.4354310335248
0.980005,27.297536843930004,-1.3092286820852996e-32,24.283262044314,36.53535730300905
0.990034,140.38267551976,-1.6609852342899997e-33,71.45994137708,157.52402612840345
1.000022,209.12400398724998,5.8244162911000145e-33,108.22487426139999,235.4686230744028
1.01002,179.76520377279,-3.0774945557700014e-32,107.06714511466,209.23408434209844
1.020017,40.4443299690463,-9.850627843282e-33,24.917335912848,47.50386779662053
1.030011,172.46969844300455,-1.223601906057916e-32,84.31738077428062,191.97712775655322
1.040016,122.558085257075,-2.8785965489524657e-32,65.15342717398919,138.80004803456222
1.050018,27.78133813049329,2.8137781997440103e-33,15.923842829820561,32.021422810200484
1.060002,385.76261501971317,-6.628697353984384e-32,203.16541274284972,435.9919495607917
1.070024,102.73230943044423,-1.42245410016266e-32,42.659223393486215,111.23729923657757
1.080011,24.9812941964535,-4.280145333754001e-33,12.550757808995,27.95687001990406
1.090018,124.14638808759001,-2.2458363036799964e-32,108.9321668131,165.1621707346799
1.100021,124.67925803351001,-5.4761936819900035e-33,52.386647371749994,135.2378578898625
1.11001,212.86152321810332,2.605813661932999e-33,96.204082992736,233.59206675571065
1.120022,113.37400702315689,-6.85895360043407e-33,46.644215074839195,122.59424239512508
1.13,34.71851760977331,5.0950159269239904e-33,20.75882389781753,40.45125751618532
1.140019,207.959773091247,-3.05844899593587e-32,88.21468722544408,225.89621127067596
1.150017,179.77514067594328,-1.123868421067052e-32,73.4812237125835,194.2127478909506
1.16002,84.67605591471002,-1.7096950230907222e-32,34.7769918259563,91.53946474463201
1.17002,39.936745108625914,-3.947317436978419e-33,14.82435319459794,42.59935513020757
1.180004,108.20177558853105,-2.2412944991345678e-32,54.12941228344445,120.9860219804831
1.190008,122.42128265231892,-4.756687816505259e-33,53.03235569942981,133.41439651428104
1.200006,158.15069773208089,-2.712944412842115e-32,67.16750308822475,171.82292240632708
1.210001,39.79407221051533,-1.2682430705748082e-32,50.29896201936668,64.13699215991814
1.220022,126.75478764674385,5.8121562309679675e-33,51.84919348730184,136.94931564872746
1.230012,240.1790386089572,-1.7968223043395892e-32,102.82995719950698,261.26609172408
1.240004,19.898777355356884,-1.35267459297366e-32,34.95733773346738,40.22408235932507
1.250005,141.69316376749242,-3.459442494507305e-32,94.94367869039667,170.56158647745602
1.260016,93.9680387997147,-1.0853007298409177e-32,50.33002619936866,106.59786045270245
1.270018,133.59521164419942,-2.3948656945573485e-32,41.619058769475636,139.92793369129518
1.280005,101.77682157970386,7.1670263675958895e-34,38.12040401280028,108.68158359614564
1.290004,93.10393668816982,-2.0930273592027096e-32,42.78674842397651,102.46486650326243
1.300018,109.93264145811885,-1.43878746599349e-33,42.0454077906207,117.69877643475695
