y_m,q_m,vnormal_m_s,speed_m_s,x_m,z_m,vx_m_s,vy_m_s,vz_m_s
-0.096076526,0.028503192161691997,0.13629747399938968,0.21532113917877513,-0.018844938,0.022965537,0.18996558,-0.023103507,-0.0987041
-0.084294654,0.029061264184472548,0.15059180509184134,0.22880689178499286,-0.018137408,0.023872133,0.2046537,-0.033376686,-0.096723594
-0.09958484,0.02662052555068093,0.13890445412916816,0.21323892812935147,-0.017003935,0.021701742,0.19023836,-0.026298514,-0.092674673
-0.087668434,0.024567123523310346,0.13602782498408636,0.205472134557849,-0.014241381,0.020643642,0.18352793,-0.037972763,-0.084228061
-0.10137434,0.022467537722765718,0.13436116918709268,0.19080981160927118,-0.011461445,0.019542748,0.17492475,-0.03398481,-0.068225719
-0.096642926,0.022642069445701664,0.13911136369482696,0.19712716381438977,-0.010665441,0.020070236,0.18132378,-0.030321285,-0.071143694
-0.089216933,0.02164059903210958,0.1418657775040022,0.19356260725574712,-0.010002295,0.019263767,0.18006559,-0.036138136,-0.0611302
-0.1025102,0.01875845120467543,0.17078322270403923,0.21048192358485157,-0.0046045114,0.018423939,0.20324039,-0.035434276,-0.041718055
-0.095960416,0.01811677468719517,0.1593659085041628,0.19715806188534327,-0.0055271764,0.017335199,0.19071332,-0.027992409,-0.041426513
-0.10250671,0.018654932220879328,0.1738217775046731,0.2136355193896771,-0.0043522422,0.018418562,0.20653179,-0.035302103,-0.04169552
-0.083968937,0.02279458700080573,0.13588970968547862,0.19469900047074346,-0.012492937,0.019460199,0.17850259,-0.02744163,-0.072742581
-0.083912335,0.01911512548212227,0.16052788203540955,0.201831606691455,-0.0067402301,0.017904857,0.19383672,-0.032629456,-0.045810938
-0.098366462,0.02968423808907477,0.19697733700313827,0.2564377502173993,-0.01110403,0.027534399,0.24398971,-0.035126343,-0.070678718
-0.093555093,0.025102379963376147,0.21144537029316923,0.2741395184707764,-0.0025095057,0.026205009,0.26070741,-0.043011673,-0.073035046
-0.091557905,0.01708707233521159,0.18777928563636626,0.22491740867565746,-0.00247656,0.017511481,0.21973255,-0.03051289,-0.037073046
-0.086346515,0.0261368459415821,0.2135041779637734,0.2823690726256458,-0.00093776546,0.027995976,0.26711056,-0.038986996,-0.082850806
