t_rel_s,t_actual_s,x_m,y_min_m,y_max_m
2.0,3.80005,-0.034999999999999865,-0.1269136505,0.12877200599999997
2.0,3.80005,-0.024999999999999856,-0.12796444199999998,0.12689105299999998
2.0,3.80005,-0.014999999999999847,-0.12803399899999998,0.12651543099999998
2.0,3.80005,-0.004999999999999838,-0.1262802425,0.1267887725
2.0,3.80005,0.005000000000000171,-0.12649258800000002,0.12531580949999999
2.0,3.80005,0.01500000000000018,-0.135853863,0.1357654125
2.0,3.80005,0.02500000000000019,-0.145204635,0.15303844199999997
2.0,3.80005,0.0350000000000002,-0.17985398,0.18227381
2.0,3.80005,0.045000000000000207,-0.18979153199999999,0.18360749599999995
2.0,3.80005,0.055000000000000215,-0.19603322699999998,0.19460820400000003
2.0,3.80005,0.06500000000000022,-0.1885333665,0.1947485044999999
2.0,3.80005,0.07500000000000023,-0.20562903,0.1998649
2.0,3.80005,0.08500000000000024,-0.20914228,0.20579371200000002
2.0,3.80005,0.09500000000000025,-0.203596072,0.21146794199999996
2.0,3.80005,0.10500000000000026,-0.209829987,0.20415635199999993
2.0,3.80005,0.11500000000000027,-0.2033205815,0.20643683749999994
2.0,3.80005,0.12500000000000028,-0.206012477,0.2027735339999999
2.0,3.80005,0.1350000000000003,-0.202217269,0.204379307
2.0,3.80005,0.1450000000000003,-0.1993633525,0.199136132
2.0,3.80005,0.1550000000000003,-0.19460485800000002,0.19550568799999998
2.0,3.80005,0.1650000000000003,-0.19258270500000002,0.192299805
2.0,3.80005,0.17500000000000032,-0.18790554299999998,0.18751079599999998
2.0,3.80005,0.18500000000000033,-0.18211019399999998,0.18783657199999995
2.0,3.80005,0.19500000000000034,-0.17885001250000002,0.180048716
2.0,3.80005,0.20500000000000035,-0.168354424,0.16938356
2.0,3.80005,0.21500000000000036,-0.158938306,0.16359368599999996
2.0,3.80005,0.22500000000000037,-0.15473394,0.15110466
2.0,3.80005,0.23500000000000038,-0.142000526,0.14677904149999996
2.0,3.80005,0.24500000000000038,-0.1356670335,0.126809954
2.0,3.80005,0.2550000000000004,-0.117100582,0.1131224165
2.0,3.80005,0.2650000000000004,-0.0919999856,0.09015234939999998
2.0,3.80005,0.2750000000000004,-0.06643169485,0.06452838265000001
2.0,3.80005,0.2850000000000004,-0.04327693765,0.019465309999999996
