idp,final_x,final_y,final_z,final_rhop,mass_kg,ever_overtop,ever_leak,final_category
149993,3.0465078,4.4092474,5.7967162,1702.9325,212.8665625,0,0,upstream
149994,1.6318655,3.5638106,6.3602762,1697.5183,212.1897875,0,0,upstream
149995,2.1896441,4.5693731,6.4616232,1698.9503,212.3687875,0,0,upstream
149996,3.4916627,5.0848064,5.9108448,1702.0015,212.7501875,0,0,upstream
149997,2.6451612,4.6902261,5.9160252,1700.6344,212.5793,0,0,upstream
149998,0.88241935,3.6948118,7.124083,1700.3834,212.547925,0,0,upstream
149999,4.2905102,5.5954304,6.631496,1699.9803,212.4975375,0,0,upstream
150000,5.0028367,5.179131,5.9491773,1703.3215,212.9151875,0,0,upstream
150001,1.3667583,4.8738995,6.9609284,1699.8813,212.4851625,0,0,upstream
150002,1.2225569,4.6358461,6.9976783,1699.853,212.481625,0,0,upstream
150003,6.4609466,6.3338737,6.7199755,1699.8655,212.4831875,0,0,upstream
150004,6.6494884,5.6168933,6.0278893,1702.1725,212.7715625,0,0,upstream
150005,5.6217012,6.1985521,6.7311797,1699.8771,212.4846375,0,0,upstream
150006,5.93607,6.0666342,6.6890721,1699.7684,212.47105,0,0,upstream
150007,6.9116902,5.9945383,6.0465708,1700.9958,212.624475,0,0,upstream
150008,9.0492373,6.656374,6.7329788,1699.5686,212.446075,0,0,upstream
150009,2.7759449,5.6757507,6.6715889,1700.2223,212.5277875,0,0,upstream
150010,3.6089604,5.8391371,6.6840067,1700.0457,212.5057125,0,0,upstream
150011,10.299091,6.8592072,6.7038383,1699.6112,212.4514,0,0,upstream
150012,9.9826851,6.565855,6.7019906,1699.4374,212.429675,0,0,upstream
150013,8.5064278,6.4114847,6.7407579,1699.7306,212.466325,0,0,upstream
150014,3.0878599,5.4865246,6.624681,1700.1636,212.52045,0,0,upstream
150015,3.2466168,5.5453734,6.6303391,1700.071,212.508875,0,0,upstream
150016,11.78877,6.9602933,6.7175326,1699.5978,212.449725,0,0,upstream
150017,3.7345684,6.2767873,6.6752658,1699.8945,212.4868125,0,0,upstream
150018,13.946989,7.1060891,6.6242628,1699.6163,212.4520375,0,0,upstream
150019,11.214363,6.8447556,6.7565002,1699.7017,212.4627125,0,0,upstream
150020,5.0406346,5.9866538,6.7074032,1699.8654,212.483175,0,0,upstream
150021,18.493212,7.4048214,6.6450734,1700.0419,212.5052375,0,0,upstream
150022,17.214745,7.4371476,6.6511188,1699.7789,212.4723625,0,0,upstream
150023,4.3236613,5.5197406,6.6327958,1699.9841,212.4980125,0,0,upstream
150024,20.519716,7.5987158,6.5473137,1699.834,212.47925,0,0,upstream
150025,4.9377027,5.4194818,6.6585464,1699.7755,212.4719375,0,0,upstream
150026,5.2915492,5.544085,6.7070327,1699.9114,212.488925,0,0,upstream
150027,7.8356619,6.0603838,6.7346973,1699.6141,212.4517625,0,0,upstream
150028,10.836474,6.3714638,6.7614298,1699.7198,212.464975,0,0,upstream
150029,10.084414,6.3231459,6.7038345,1699.3773,212.4221625,0,0,upstream
150030,0.46114722,2.4525807,0.45050663,1702.2214,212.777675,0,0,upstream
150031,0.5290333,2.57833,0.94209385,1702.7423,212.8427875,0,0,upstream
