time_s,x_m,z_top_m
5.000000,75.740898,25.795876
5.000000,76.240898,25.039579
5.000000,76.740898,25.167385
5.000000,77.240898,24.131098
5.000000,77.740898,17.185682
5.000000,78.240898,14.018886
7.600000,0.760183,7.251894
7.600000,1.260183,8.378329
7.600000,1.760183,7.121262
7.600000,2.260183,8.002482
7.600000,2.760183,6.838182
7.600000,3.260183,7.702446
7.600000,3.760183,7.649732
7.600000,4.260183,7.703250
7.600000,4.760183,6.918354
7.600000,5.260183,7.682882
7.600000,5.760183,7.646615
7.600000,6.260183,7.426038
7.600000,6.760183,7.736842
7.600000,7.260183,7.698526
7.600000,7.760183,7.725849
7.600000,8.260183,7.782110
7.600000,8.760183,7.786679
7.600000,9.260183,7.836552
7.600000,9.760183,7.067809
7.600000,10.260183,7.761780
7.600000,10.760183,7.826153
7.600000,11.260183,7.818189
7.600000,11.760183,7.773488
7.600000,12.260183,7.778963
7.600000,12.760183,7.783685
7.600000,13.260183,7.738578
7.600000,13.760183,7.795364
7.600000,14.260183,7.098565
7.600000,14.760183,7.716102
7.600000,15.260183,7.097548
7.600000,15.760183,7.645870
7.600000,16.260183,6.931667
7.600000,16.760183,7.617202
7.600000,17.260183,7.127445
7.600000,17.760183,7.071124
7.600000,18.260183,7.588615
7.600000,18.760183,7.596323
7.600000,19.260183,6.697630
7.600000,19.760183,7.563935
7.600000,20.260183,6.850317
7.600000,20.760183,7.456809
7.600000,21.260183,5.157831
7.600000,21.760183,7.474958
7.600000,22.260183,7.382263
7.600000,22.760183,6.092835
7.600000,23.260183,7.045037
7.600000,23.760183,7.356551
7.600000,24.260183,5.718402
7.600000,24.760183,7.504946
7.600000,25.260183,6.128958
7.600000,25.760183,7.342832
7.600000,26.260183,6.650181
7.600000,26.760183,7.449901
7.600000,27.260183,6.449614
7.600000,27.760183,7.274080
7.600000,28.260183,6.530688
7.600000,28.760183,7.381461
7.600000,29.260183,7.215505
7.600000,29.760183,7.183433
7.600000,30.260183,7.249882
7.600000,30.760183,6.426027
7.600000,31.260183,7.202849
