idp,x,y,z,category
166802,34.290363,5.0295081,3.085145,trapped
166803,30.17164,5.1192489,3.1286969,trapped
166804,33.59235,5.0895677,3.3409932,trapped
166805,32.15255,5.1405959,3.2333367,trapped
166806,31.982988,5.5486531,3.2861478,trapped
166807,34.843922,5.5049605,3.4755085,trapped
166808,34.064125,5.719811,3.5576444,trapped
166809,36.573902,5.623117,3.478379,trapped
166810,31.633286,5.5910182,3.5138664,trapped
166811,35.904945,5.444108,3.5640643,trapped
166812,33.130871,5.964395,3.3737824,trapped
166813,36.389946,6.2459617,3.4510288,trapped
166814,36.225609,5.9309435,3.8647811,trapped
166815,35.878658,6.4005041,3.4961424,trapped
166816,39.576675,6.3960733,4.1222267,trapped
166817,37.432442,6.6165824,3.7236979,trapped
166818,41.181412,6.9328489,4.1289587,trapped
166819,40.144661,6.8790154,4.0220919,trapped
166820,42.458492,7.1737003,4.1736078,trapped
166821,41.635521,7.3678527,4.1655159,trapped
166822,45.532425,7.6517749,4.4423261,trapped
166823,43.553715,7.5184975,4.4746304,trapped
166824,47.538307,7.5827355,4.8432627,trapped
166825,46.975124,8.3693924,5.2006373,trapped
166826,48.920811,8.7954607,5.6635089,trapped
166827,51.389458,8.9198933,5.9993482,trapped
166828,52.120152,9.2472506,6.8089919,trapped
166829,53.711105,8.7583275,7.186996,trapped
166830,5.6006675,6.0579448,0.64821285,trapped
166831,6.8272228,5.9601951,0.86617863,trapped
166832,7.5553112,5.7354727,0.7690407,trapped
166833,11.151982,5.7054634,1.3257452,trapped
166834,12.473127,5.5632691,1.2497176,trapped
166835,15.808825,5.249814,1.6586438,trapped
166836,16.460176,5.2470188,1.6451738,trapped
166837,17.265718,4.7888913,1.2401669,trapped
166838,18.126986,5.1854534,1.6757795,trapped
166839,20.710632,4.7753758,1.8183419,trapped
166840,23.92857,4.5742617,1.7126534,trapped
166841,20.231394,5.081223,1.7344044,trapped
166842,23.499886,4.7083302,1.8727036,trapped
166843,23.026859,4.7618918,1.9001495,trapped
166844,25.851923,4.6380811,1.9516304,trapped
166845,22.524706,5.058814,2.0283585,trapped
166846,27.658264,4.2603288,2.3825276,trapped
166847,25.514202,4.8576517,2.2040772,trapped
166848,25.025047,4.9063745,2.2256789,trapped
166849,28.22398,4.8738689,2.2413385,trapped
166850,24.688244,5.0413113,2.4218481,trapped
