Part;Time [s];Np;ForceFluid.x [N/m];ForceFluid.y [N/m];ForceFluid.z [N/m];ForceFluid [N/m];Weight.x [N/m];Weight.y [N/m];Weight.z [N/m];ForceTotal.x [N/m];ForceTotal.y [N/m];ForceTotal.z [N/m];ForceTotal [N/m]
74;0.740028;80; -7.483496163789E+01; -1.723373147366E-31;  1.266007647592E+02;  1.470646970587E+02;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -7.483496163789E+01; -1.723373147366E-31;  6.381676382364E+01;  9.835065240387E+01
75;0.750023;80;  6.079000163375E+01; -3.885316313799E-32;  6.398372372841E+01;  8.825724446631E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  6.079000163375E+01; -3.885316313799E-32;  1.199722792859E+00;  6.080183906274E+01
76;0.760001;80; -4.175522533904E+01; -8.231622938223E-32;  6.805353612264E+01;  7.984223582735E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -4.175522533904E+01; -8.231622938223E-32;  5.269535187088E+00;  4.208642113796E+01
77;0.770009;80; -7.247381767066E+01; -1.593311728519E-31;  1.329196637696E+02;  1.513938283563E+02;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -7.247381767066E+01; -1.593311728519E-31;  7.013566283404E+01;  1.008536833682E+02
78;0.780024;80; -1.072906868617E+02; -1.790880135447E-31;  1.311312141068E+02;  1.694304777789E+02;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -1.072906868617E+02; -1.790880135447E-31;  6.834721317129E+01;  1.272109784395E+02
79;0.790022;80; -2.728148283465E+01; -2.390011320723E-31;  1.929123310988E+02;  1.948318423555E+02;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -2.728148283465E+01; -2.390011320723E-31;  1.301283301632E+02;  1.329573676662E+02
80;0.800006;80; -7.620378377870E+01; -2.853462630014E-31;  2.226265852056E+02;  2.353074862865E+02;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -7.620378377870E+01; -2.853462630014E-31;  1.598425842700E+02;  1.770781420964E+02
81;0.810006;80; -8.543394276562E+01; -2.392317158789E-31;  1.987619986755E+02;  2.163453043030E+02;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -8.543394276562E+01; -2.392317158789E-31;  1.359779977399E+02;  1.605894593236E+02
82;0.820010;80; -6.742723335942E+01; -2.238311880716E-31;  1.823186452186E+02;  1.943875515378E+02;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -6.742723335942E+01; -2.238311880716E-31;  1.195346442830E+02;  1.372405296637E+02
83;0.830022;80; -5.410832756175E+01; -1.645078433441E-31;  1.306002766329E+02;  1.413652834614E+02;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -5.410832756175E+01; -1.645078433441E-31;  6.781627569735E+01;  8.675689229675E+01
84;0.840000;80; -1.820677510634E+01; -1.941682833223E-32;  1.185406129322E+01;  2.172568592510E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -1.820677510634E+01; -1.941682833223E-32; -5.092993964234E+01;  5.408646237041E+01
85;0.850003;80; -6.527131665978E+00;  5.858076518515E-34; -2.950203851315E+00;  7.162900986984E+00;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -6.527131665978E+00;  5.858076518515E-34; -6.573420478687E+01;  6.605746836465E+01
86;0.860012;80;  2.294727882229E+01; -5.789453088567E-33;  1.425289298554E+01;  2.701337749718E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  2.294727882229E+01; -5.789453088567E-33; -4.853110795002E+01;  5.368282820609E+01
87;0.870018;80;  1.261513369387E-01; -1.499663393886E-32;  1.843687459762E+01;  1.843730617765E+01;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01;  1.261513369387E-01; -1.499663393886E-32; -4.434712633793E+01;  4.434730576475E+01
88;0.880026;80; -9.021361242981E+01; -2.576138663481E-31;  2.131285710670E+02;  2.314352688608E+02;  0.000000000000E+00;  0.000000000000E+00; -6.278400093555E+01; -9.021361242981E+01; -2.576138663481E-31;  1.503445701314E+02;  1.753339260829E+02
