time_s,relative_time_after_impact_s,x_m,y_positive_m,y_negative_m
1.800000000000000044e+00,0.000000000000000000e+00,-5.245672464370727539e-01,1.408995687961578369e-01,-1.408995687961578369e-01
1.800000000000000044e+00,0.000000000000000000e+00,-5.185674428939819336e-01,1.404536664485931396e-01,-1.404536664485931396e-01
1.800000000000000044e+00,0.000000000000000000e+00,-5.125675797462463379e-01,1.406306475400924683e-01,-1.406306475400924683e-01
1.800000000000000044e+00,0.000000000000000000e+00,-5.065677165985107422e-01,1.396852880716323853e-01,-1.396852880716323853e-01
1.800000000000000044e+00,0.000000000000000000e+00,-5.005679130554199219e-01,1.397924274206161499e-01,-1.397924274206161499e-01
1.800000000000000044e+00,0.000000000000000000e+00,-4.945680499076843262e-01,1.400045603513717651e-01,-1.400045603513717651e-01
1.800000000000000044e+00,0.000000000000000000e+00,-4.885682165622711182e-01,1.400622427463531494e-01,-1.400622427463531494e-01
1.800000000000000044e+00,0.000000000000000000e+00,-4.825683832168579102e-01,1.391076147556304932e-01,-1.391076147556304932e-01
1.800000000000000044e+00,0.000000000000000000e+00,-4.765685200691223145e-01,1.398987323045730591e-01,-1.398987323045730591e-01
1.800000000000000044e+00,0.000000000000000000e+00,-4.705686569213867188e-01,1.393729299306869507e-01,-1.393729299306869507e-01
1.800000000000000044e+00,0.000000000000000000e+00,-4.645688533782958984e-01,1.397425681352615356e-01,-1.397425681352615356e-01
1.800000000000000044e+00,0.000000000000000000e+00,-4.585689902305603027e-01,1.393267363309860229e-01,-1.393267363309860229e-01
1.800000000000000044e+00,0.000000000000000000e+00,-4.525691270828247070e-01,1.404661536216735840e-01,-1.404661536216735840e-01
1.800000000000000044e+00,0.000000000000000000e+00,-4.465693235397338867e-01,1.381354331970214844e-01,-1.381354331970214844e-01
1.800000000000000044e+00,0.000000000000000000e+00,-4.405694603919982910e-01,1.408421099185943604e-01,-1.408421099185943604e-01
1.800000000000000044e+00,0.000000000000000000e+00,-4.345695972442626953e-01,1.411273628473281860e-01,-1.411273628473281860e-01
1.800000000000000044e+00,0.000000000000000000e+00,-4.285697340965270996e-01,1.399488151073455811e-01,-1.399488151073455811e-01
1.800000000000000044e+00,0.000000000000000000e+00,-4.225698709487915039e-01,1.400806009769439697e-01,-1.400806009769439697e-01
1.800000000000000044e+00,0.000000000000000000e+00,-4.165700674057006836e-01,1.385403275489807129e-01,-1.385403275489807129e-01
1.800000000000000044e+00,0.000000000000000000e+00,-4.105702042579650879e-01,1.407478898763656616e-01,-1.407478898763656616e-01
1.800000000000000044e+00,0.000000000000000000e+00,-4.045703411102294922e-01,1.373696923255920410e-01,-1.373696923255920410e-01
1.800000000000000044e+00,0.000000000000000000e+00,-3.985705375671386719e-01,1.384017616510391235e-01,-1.384017616510391235e-01
1.800000000000000044e+00,0.000000000000000000e+00,-3.925706744194030762e-01,1.393834799528121948e-01,-1.393834799528121948e-01
1.800000000000000044e+00,0.000000000000000000e+00,-3.865708112716674805e-01,1.394126117229461670e-01,-1.394126117229461670e-01
1.800000000000000044e+00,0.000000000000000000e+00,-3.805710077285766602e-01,1.378255039453506470e-01,-1.378255039453506470e-01
1.800000000000000044e+00,0.000000000000000000e+00,-3.745711445808410645e-01,1.400948762893676758e-01,-1.400948762893676758e-01
1.800000000000000044e+00,0.000000000000000000e+00,-3.685712814331054688e-01,1.392254680395126343e-01,-1.392254680395126343e-01
1.800000000000000044e+00,0.000000000000000000e+00,-3.625714778900146484e-01,1.397754251956939697e-01,-1.397754251956939697e-01
1.800000000000000044e+00,0.000000000000000000e+00,-3.565716147422790527e-01,1.392102688550949097e-01,-1.392102688550949097e-01
1.800000000000000044e+00,0.000000000000000000e+00,-3.505717515945434570e-01,1.407488882541656494e-01,-1.407488882541656494e-01
1.800000000000000044e+00,0.000000000000000000e+00,-3.445719480514526367e-01,1.394455432891845703e-01,-1.394455432891845703e-01
1.800000000000000044e+00,0.000000000000000000e+00,-3.385720849037170410e-01,1.401375383138656616e-01,-1.401375383138656616e-01
1.800000000000000044e+00,0.000000000000000000e+00,-3.325722217559814453e-01,1.398892253637313843e-01,-1.398892253637313843e-01
1.800000000000000044e+00,0.000000000000000000e+00,-3.265724182128906250e-01,1.397898942232131958e-01,-1.397898942232131958e-01
1.800000000000000044e+00,0.000000000000000000e+00,-3.205725550651550293e-01,1.387804448604583740e-01,-1.387804448604583740e-01
1.800000000000000044e+00,0.000000000000000000e+00,-3.145726919174194336e-01,1.379804611206054688e-01,-1.379804611206054688e-01
1.800000000000000044e+00,0.000000000000000000e+00,-3.085728883743286133e-01,1.371804326772689819e-01,-1.371804326772689819e-01
1.800000000000000044e+00,0.000000000000000000e+00,-3.025730252265930176e-01,1.374439448118209839e-01,-1.374439448118209839e-01
1.800000000000000044e+00,0.000000000000000000e+00,-2.965731620788574219e-01,1.383975446224212646e-01,-1.383975446224212646e-01
1.800000000000000044e+00,0.000000000000000000e+00,-2.905732989311218262e-01,1.383271813392639160e-01,-1.383271813392639160e-01
1.800000000000000044e+00,0.000000000000000000e+00,-2.845734357833862305e-01,1.373307853937149048e-01,-1.373307853937149048e-01
1.800000000000000044e+00,0.000000000000000000e+00,-2.785736322402954102e-01,1.390058100223541260e-01,-1.390058100223541260e-01
1.800000000000000044e+00,0.000000000000000000e+00,-2.725737690925598145e-01,1.369806528091430664e-01,-1.369806528091430664e-01
