time_s,relative_time_after_impact_s,x_m,z_m
2.200000000000000178e+00,4.000000000000001332e-01,-1.437840700149536133e+00,6.492433547973632812e-01
2.200000000000000178e+00,4.000000000000001332e-01,-1.431394815444946289e+00,6.460729837417602539e-01
2.200000000000000178e+00,4.000000000000001332e-01,-1.424948930740356445e+00,6.450273394584655762e-01
2.200000000000000178e+00,4.000000000000001332e-01,-1.418502926826477051e+00,6.450632810592651367e-01
2.200000000000000178e+00,4.000000000000001332e-01,-1.412057042121887207e+00,6.430984735488891602e-01
2.200000000000000178e+00,4.000000000000001332e-01,-1.405611038208007812e+00,6.408101916313171387e-01
2.200000000000000178e+00,4.000000000000001332e-01,-1.399165153503417969e+00,6.391472816467285156e-01
2.200000000000000178e+00,4.000000000000001332e-01,-1.392719268798828125e+00,6.357074975967407227e-01
2.200000000000000178e+00,4.000000000000001332e-01,-1.386273384094238281e+00,6.349782943725585938e-01
2.200000000000000178e+00,4.000000000000001332e-01,-1.379827380180358887e+00,6.338414549827575684e-01
2.200000000000000178e+00,4.000000000000001332e-01,-1.373381376266479492e+00,6.308113336563110352e-01
2.200000000000000178e+00,4.000000000000001332e-01,-1.366935491561889648e+00,6.287539005279541016e-01
2.200000000000000178e+00,4.000000000000001332e-01,-1.360489606857299805e+00,6.279079914093017578e-01
2.200000000000000178e+00,4.000000000000001332e-01,-1.354043722152709961e+00,6.246076822280883789e-01
2.200000000000000178e+00,4.000000000000001332e-01,-1.347597718238830566e+00,6.211073398590087891e-01
2.200000000000000178e+00,4.000000000000001332e-01,-1.341151833534240723e+00,6.195757389068603516e-01
2.200000000000000178e+00,4.000000000000001332e-01,-1.334705829620361328e+00,6.154528260231018066e-01
2.200000000000000178e+00,4.000000000000001332e-01,-1.328259944915771484e+00,6.147038340568542480e-01
2.200000000000000178e+00,4.000000000000001332e-01,-1.321814060211181641e+00,6.129539012908935547e-01
2.200000000000000178e+00,4.000000000000001332e-01,-1.315368175506591797e+00,6.085360050201416016e-01
2.200000000000000178e+00,4.000000000000001332e-01,-1.308922171592712402e+00,6.070542335510253906e-01
2.200000000000000178e+00,4.000000000000001332e-01,-1.302476167678833008e+00,6.049057841300964355e-01
2.200000000000000178e+00,4.000000000000001332e-01,-1.296030282974243164e+00,6.015470027923583984e-01
2.200000000000000178e+00,4.000000000000001332e-01,-1.289584398269653320e+00,6.002095937728881836e-01
2.200000000000000178e+00,4.000000000000001332e-01,-1.283138513565063477e+00,5.971073508262634277e-01
2.200000000000000178e+00,4.000000000000001332e-01,-1.276692509651184082e+00,5.956378579139709473e-01
